county,state,Dataset
Plumas County,CA,counties
Riverside County,CA,counties
Sacramento County,CA,counties
San Benito County,CA,counties
San Bernardino County,CA,counties
San Diego County,CA,counties
San Francisco County,CA,counties
San Joaquin County,CA,counties
San Luis Obispo County,CA,counties
San Mateo County,CA,counties
Santa Barbara County,CA,counties
Santa Clara County,CA,counties
Santa Cruz County,CA,counties
Shasta County,CA,counties
Sierra County,CA,counties
Siskiyou County,CA,counties
Solano County,CA,counties
Sonoma County,CA,counties
Stanislaus County,CA,counties
Sutter County,CA,counties
Tehama County,CA,counties
Trinity County,CA,counties
Tulare County,CA,counties
Tuolumne County,CA,counties
Ventura County,CA,counties
Yolo County,CA,counties
Yuba County,CA,counties
,CA,brewery
Adams County,CO,counties
Alamosa County,CO,counties
